Timer,Copy(s),Scalar(s),Add(s),Triad(s),Total(s)
Compute,3.626260,3.814284,4.309447,4.298103 
Total,3.626295,3.814290,4.309457,4.298108 
Wait,1.733399,0.000001,2.155638,0.000001 
WallTimer,,,,99.685981 
