Timer,Copy(s),Scalar(s),Add(s),Triad(s),Total(s)
Compute,6.592309,7.166237,8.169792,8.088867 
Total,6.592353,7.166247,8.169804,8.088878 
Wait,7.887446,0.000001,6.940973,0.000001 
WallTimer,,,,224.228573 
